@relation MyRelation

@attribute convexity numeric
@attribute circularity numeric
@attribute stdDevR numeric
@attribute relativeX numeric
@attribute relativeY numeric
@attribute relativeArea numeric
@attribute bloodStatus {blood,notBlood}

@data
1,0.683884,5.206166,0.554257,0.499006,0.000079,notBlood
1,0.308814,2.485461,0.564274,0.723658,0.000043,notBlood
0.928571,0.577027,4.524283,0.567613,0.705765,0.00003,notBlood
1,0.775702,5.74108,0.579299,0.787276,0.000017,notBlood
0.969697,0.530811,1.271507,0.592654,0.675944,0.000152,notBlood
0.947368,0.522148,4.255193,0.585977,0.691849,0.00005,notBlood
0.9375,0.490874,1.640122,0.585977,0.737575,0.000033,notBlood
1,0.356324,1.961859,0.587646,0.753479,0.00005,notBlood
0.42757,0.104546,51.899899,0.739566,0.131213,0.00504,notBlood
1,0.72698,48.505838,0.716194,0.117296,0.000023,notBlood
1,0.614356,51.76712,0.724541,0.121272,0.000036,notBlood
1,0.49852,3.362997,0.731219,0.964215,0.00126,notBlood
0.928571,0.512913,63.002852,0.734558,0.125249,0.000026,notBlood
1,0.72698,51.720994,0.737896,0.135189,0.000023,notBlood
1,0.523599,13.32604,0.784641,0.184891,0.00002,notBlood
1,0.614356,4.122103,0.796327,0.246521,0.000036,notBlood
1,0.628319,9.316652,0.803005,0.151093,0.000017,notBlood
0.770115,0.360272,62.091036,0.834725,0.194831,0.000718,notBlood
0.818182,0.554813,8.776173,0.919866,0.944334,0.015899,notBlood
0.9,0.471239,11.114355,0.836394,0.942346,0.00005,notBlood
1,0.452529,15.939234,0.843072,0.924453,0.000043,notBlood
1,0.628319,4.223742,0.841402,0.910537,0.000017,notBlood
1,0.380079,7.801993,0.846411,0.912525,0.000053,notBlood
0.961538,0.594858,3.706914,0.851419,0.163022,0.000106,notBlood
1,0.384685,3.201562,0.846411,0.178926,0.00002,notBlood
1,0.641141,4.882622,0.858097,0.942346,0.000033,notBlood
1,0.68734,5.386613,0.916528,0.127237,0.000152,notBlood
1,0.804248,6.661409,0.914858,0.157058,0.000132,notBlood
0.689394,0.227902,14.844816,0.951586,0.499006,0.001045,notBlood
0.886364,0.43489,3.747131,0.993322,0.902584,0.000222,notBlood
1,0.259636,1.4,0.024476,0,0.000018,notBlood
0.857143,0.512913,6.726812,0.029138,0.974046,0.000014,notBlood
1,0.775702,5.3066,0.050117,0.876336,0.000009,notBlood
0.893617,0.22186,7.5341,0.075758,0.868702,0.000069,notBlood
1,0.594858,5.146297,0.074592,0.787786,0.000014,notBlood
1,0.519272,5.95315,0.076923,0.741985,0.000009,notBlood
0.9,0.628319,5.621388,0.078089,0.815267,0.000009,notBlood
1,0.753982,9.678154,0.083916,0.777099,0.000011,notBlood
1,0.775702,3.310589,0.100233,0.763359,0.000009,notBlood
1,0.149226,1.093927,0.244755,0,0.000034,notBlood
1,0.282743,1.247219,0.264569,0,0.000016,notBlood
1,0.259636,0.7,0.319347,0,0.000018,notBlood
1,0.223072,0.816497,0.433566,0,0.000021,notBlood
1,0.101229,0.405081,0.754079,0,0.000051,notBlood
1,0.055098,0.227091,0.810023,0,0.000098,notBlood
1,0.343612,0,0.871795,0,0.000012,notBlood
1,0.282743,0,0.895105,0,0.000016,notBlood
1,0.310281,0,0.924242,0,0.000014,notBlood
1,0.436332,0,0.967366,0,0.000009,notBlood
1,0.436332,1.959592,0,0.134783,0.000017,notBlood
1,0.208371,4.616666,0,0.149275,0.000045,notBlood
0.78125,0.368155,3.508086,0.004808,0.514493,0.000104,notBlood
0.810345,0.257753,28.217804,0.016827,0.537681,0.000239,notBlood
0.982759,0.661191,14.596519,0.019231,0.552174,0.000614,notBlood
0.535088,0.134405,5.161498,0.014423,0.855072,0.000482,notBlood
1,0.959931,1.776802,0.002404,0.866667,0.000038,notBlood
1,0.156645,2.910178,0.002404,0.205797,0.000062,notBlood
1,0.125446,1.940514,0.007212,0.018841,0.00008,notBlood
1,0.436332,1.854724,0.007212,0.042029,0.000017,notBlood
0.811321,0.429467,25.811382,0.028846,0.456522,0.000333,notBlood
0.909091,0.334642,25.248727,0.019231,0.468116,0.000101,notBlood
0.755556,0.248225,38.575122,0.026442,0.57971,0.000139,notBlood
1,0.436332,1.2,0.009615,0.076812,0.000017,notBlood
1,0.173929,2.811111,0.009615,0.094203,0.000056,notBlood
1,0.223072,2.598076,0.012019,0.178261,0.000042,notBlood
1,0.384685,0.745356,0.012019,0.198551,0.000021,notBlood
0.956522,0.546364,3.296329,0.016827,0.521739,0.00008,notBlood
1,0.436332,2.315167,0.014423,0.002899,0.000017,notBlood
1,0.310281,1.452369,0.014423,0.018841,0.000028,notBlood
1,0.343612,2.2315,0.016827,0.076812,0.000024,notBlood
1,0.173929,4.475192,0.016827,0.094203,0.000056,notBlood
1,0.436332,2.497999,0.016827,0.121739,0.000017,notBlood
1,0.120637,3.068376,0.019231,0.178261,0.000083,notBlood
1,0.343612,2.828427,0.019231,0.202899,0.000024,notBlood
1,0.142476,3.338787,0.021635,0.055072,0.000069,notBlood
1,0.343612,3.53986,0.024038,0.134783,0.000024,notBlood
0.923077,0.520501,1.641304,0.028846,0.517391,0.000024,notBlood
1,0.142476,10.495713,0.026442,0.213043,0.000069,notBlood
0.75,0.316018,1.927481,0.045673,0.856522,0.000236,notBlood
1,0.779628,14.301239,0.040865,0.394203,0.000264,notBlood
1,0.282743,6.756798,0.040865,0.844928,0.000031,notBlood
1,0.753982,14.829588,0.036058,0.475362,0.000021,notBlood
1,0.504206,1.813819,0.038462,0.526087,0.000045,notBlood
0.846154,0.501911,14.609128,0.043269,0.410145,0.000094,notBlood
1,0.610865,5.503246,0.040865,0.43913,0.000024,notBlood
1,0.736311,13.876599,0.043269,0.424638,0.000208,notBlood
1,0.614356,9.27451,0.043269,0.447826,0.000038,notBlood
1,0.467344,5.529104,0.050481,0.847826,0.000062,notBlood
0.971429,0.748853,13.623672,0.057692,0.376812,0.000253,notBlood
1,0.451344,12.864734,0.048077,0.543478,0.000066,notBlood
1,0.558505,23.678894,0.050481,0.436232,0.000035,notBlood
1,0.384685,7.386173,0.052885,0.469565,0.000021,notBlood
1,0.223072,2.173067,0.067308,0.76087,0.000042,notBlood
0.878788,0.426957,20.407213,0.0625,0.391304,0.000128,notBlood
