@relation MyRelation

@attribute convexity numeric
@attribute circularity numeric
@attribute stdDevR numeric
@attribute relativeX numeric
@attribute relativeY numeric
@attribute relativeArea numeric
@attribute bloodStatus {blood,notBlood}

@data
1,0.760159,9.419893,0.682382,0.7227,0.00001,notBlood
1,0.72698,2.899683,0.682382,0.669755,0.000002,notBlood
1,0.349066,5.617433,0.683375,0.71542,0.000003,notBlood
1,0.72698,7.384485,0.682382,0.605559,0.000002,notBlood
1,0.692362,11.054411,0.683871,0.636003,0.00002,notBlood
1,0.628319,5.912698,0.682878,0.657842,0.000002,notBlood
1,0.641141,21.900913,0.683871,0.090668,0.000003,notBlood
1,0.743572,10.921996,0.683375,0.573792,0.000003,notBlood
1,0.879129,11.805127,0.684864,0.585043,0.000017,notBlood
0.861111,0.242407,7.013587,0.68536,0.66777,0.000008,notBlood
1,0.534071,6.944665,0.683871,0.837856,0.000006,notBlood
1,0.519272,4.732864,0.683375,0.602912,0.000002,notBlood
1,0.519272,5.499091,0.684864,0.599603,0.000002,notBlood
1,0.512913,2.436699,0.68536,0.653872,0.000003,notBlood
1,0.743572,10.170546,0.685856,0.710788,0.000003,notBlood
0.857143,0.455923,3.736956,0.686849,0.703508,0.000005,notBlood
1,0.775702,10.44988,0.686352,0.606883,0.000002,notBlood
1,0.589049,8.592633,0.686849,0.655857,0.000004,notBlood
0.923077,0.355262,4.822204,0.688337,0.714758,0.000014,notBlood
1,0.577027,5.404616,0.687841,0.694242,0.000003,notBlood
1,0.869645,7.023354,0.688337,0.67505,0.000007,notBlood
1,0.753982,1.885618,0.688834,0.665784,0.000002,notBlood
1,0.520501,2.2315,0.688834,0.684977,0.000002,notBlood
1,0.879646,4.237828,0.688834,0.691595,0.000002,notBlood
0.75,0.276492,2.502005,0.691315,0.707478,0.000023,notBlood
1,0.753982,1.674979,0.688834,0.718068,0.000002,notBlood
0.947368,0.556958,2.735759,0.690819,0.688286,0.000005,notBlood
1,0.502655,2.09644,0.689826,0.698875,0.000003,notBlood
0.916667,0.785398,2.346524,0.690323,0.644606,0.000003,notBlood
1,0.628319,3.6,0.689826,0.66049,0.000002,notBlood
